Lab ID,ID,Species,Run,Ala,Gly,Val,Leu,Thr,Ser,Pro,Asx,Glx,Phe,Assignment
CH358,CH-Bos p.,Bos primigenius,6154,0.503166667,-7.540166667,1.668166667,-1.9385,1.7115,-5.270166667,3.208166667,2.684833333,1.043166667,3.929833333,Aurochs
CH374,CH-Bos p.,Bos primigenius,6099,1.7965,-7.080166667,1.994833333,-1.545166667,-3.461833333,-4.810166667,3.918166667,2.994833333,2.203166667,3.989833333,Aurochs
CH413,CH-Bos p.,Bos primigenius,6150,1.4915,-7.785166667,-0.126833333,-2.950166667,1.633166667,-4.915166667,3.3965,2.3565,1.614833333,5.284833333,Aurochs
CH424,CH-Bos p.,Bos primigenius,6389,0.674833333,-7.0185,-0.660166667,-2.0335,0.6665,-5.765166667,3.663166667,2.5065,1.9815,5.984833333,Aurochs
CH654,CH-Bos p.,Bos primigenius,6393,0.918166667,-7.191833333,-0.266833333,-2.4735,3.709833333,-5.605166667,2.8065,2.733166667,0.758166667,4.6115,Aurochs
CH574,CH-Ovis,Ovis,6091,0.904833333,-7.621833333,2.253166667,-2.7035,2.679833333,-7.551833333,2.659833333,2.8865,1.5115,4.9815,Domestic sheep
CH581,CH-Ovis,Ovis,6087,1.073166667,-7.2535,1.2215,-3.035166667,-0.685166667,-6.400166667,3.928166667,3.204833333,1.763166667,6.183166667,Domestic sheep
CH583,CH-Capra,Capra,6107,1.6215,-9.2385,0.953166667,-3.2535,0.129833333,-6.3685,4.0265,3.753166667,2.344833333,6.0315,Domestic goat
CH669,CH-Ovicaprid,Ovicaprid,6115,1.229833333,-7.5635,-0.105166667,-3.511833333,0.388166667,-5.6935,3.9515,3.2115,2.219833333,5.873166667,Domestic ovicaprid
CH673,CH-Ovis,Ovis,6146,0.794833333,-8.0485,-0.190166667,-3.4135,1.3865,-4.845166667,4.133166667,2.693166667,1.484833333,6.004833333,Domestic sheep
MAK208,MK-Ovis,Ovis,6405,0.219833333,-9.290166667,0.9015,-2.505166667,4.044833333,-5.636833333,2.074833333,2.568166667,1.043166667,6.579833333,Domestic sheep
MAK227,MK-Ovis,Ovis,6417,0.054833333,-7.7385,1.853166667,-2.320166667,2.0965,-7.0685,2.0765,2.8865,1.478166667,6.6815,Domestic sheep
MAK228,MK-Ovis,Ovis,6421,-0.285166667,-8.511833333,1.213166667,-3.176833333,4.4065,-6.641833333,2.1865,2.413166667,1.0215,7.374833333,Domestic sheep
MAK258,MK-Ovis,Ovis,6471,-0.016833333,-9.6935,0.948166667,-2.7085,4.574833333,-6.840166667,1.4215,2.514833333,0.889833333,8.909833333,Domestic sheep
MAK260,MK-Ovis,Ovis,6475,0.423166667,-8.820166667,0.538166667,-3.1685,4.448166667,-7.316833333,1.8115,2.2715,0.479833333,9.333166667,Domestic sheep
MAK261,MK-Cervus e.,Cervus elaphus,6425,0.293166667,-8.400166667,0.058166667,-3.0485,2.018166667,-5.280166667,3.814833333,2.674833333,0.8165,7.053166667,Red deer
MAK263,MK-Cervus e.,Cervus elaphus,6429,0.2565,-8.970166667,1.1715,-1.901833333,3.348166667,-6.7835,2.578166667,2.038166667,-0.0035,8.2665,Red deer
MAK219,MK-Bos t.,Bos taurus,6450,0.463166667,-8.8135,0.4115,-2.261833333,5.1215,-6.110166667,1.884833333,2.778166667,0.4365,6.089833333,Domestic cattle
MAK234,MK-Bos t.,Bos taurus,6454,0.943166667,-8.8835,-0.191833333,-1.931833333,3.5015,-6.396833333,2.3815,2.474833333,1.249833333,6.853166667,Domestic cattle
MAK238,MK-Bos t.,Bos taurus,6462,0.728166667,-9.565166667,1.1265,-1.780166667,1.819833333,-5.745166667,2.399833333,2.409833333,1.684833333,6.9215,Domestic cattle
MAK239,MK-Bos t.,Bos taurus,6466,0.528166667,-8.781833333,0.309833333,-2.630166667,5.2365,-7.045166667,2.349833333,2.193166667,0.984833333,6.854833333,Domestic cattle
VAH298,VH-Bos t.,Bos taurus,6075,1.764833333,-7.095166667,0.129833333,-3.460166667,1.8065,-5.125166667,3.369833333,2.629833333,0.9215,5.058166667,Domestic cattle
VAH299,VH-Bos t.,Bos taurus,6063,0.8215,-8.355166667,1.669833333,-1.770166667,1.179833333,-6.6185,3.293166667,2.603166667,1.1615,6.014833333,Domestic cattle
VAH302,VH-Bos t.,Bos taurus,6001,1.393166667,-9.400166667,1.108166667,-2.6985,1.8515,-5.6635,2.848166667,2.874833333,2.4165,5.269833333,Domestic cattle
VAH305,VH-Bos t.,Bos taurus,6009,1.488166667,-8.071833333,-1.1135,-2.370166667,1.029833333,-5.5185,3.259833333,3.469833333,2.028166667,5.798166667,Domestic cattle
VAH322,VH-Bos t.,Bos taurus,6246,0.534833333,-7.375166667,0.8165,-2.690166667,3.393166667,-6.105166667,2.623166667,2.2165,0.858166667,5.728166667,Domestic cattle
VAH345,VH-Cervus e.,Cervus elaphus,6345,0.013166667,-9.780166667,-0.305166667,-1.995166667,8.254833333,-6.1935,2.7515,1.928166667,-0.1135,5.439833333,Red deer
VAH346,VH-Cervus e.,Cervus elaphus,6250,0.403166667,-8.5735,2.1015,-2.055166667,2.744833333,-5.2535,2.5915,2.4015,0.043166667,5.5965,Red deer
