Species,Part,Manure,Ala,Asx,Glx,Gly,Leu,Phe,Pro,Ser,Thr,Val,Assignment
Barley,0,Y,0.3,1.4,-0.3,-0.4,-2,7.6,2.3,-3,-6.1,0.2,Grain
Barley,0,N,0.38,1.28,-0.72,0.28,-2.62,7.48,1.48,-2.62,-5.62,0.68,Grain
Barley,0,Y,-0.21,0.49,0.19,0.09,-1.11,6.19,1.39,-3.51,-2.21,-1.31,Grain
Barley,0,N,0.38,0.38,-0.32,-0.82,-1.22,7.38,1.48,-4.42,-3.42,0.58,Grain
Bread wheat,0,Y,0.68,-0.22,-2.32,-0.32,-1.52,6.88,1.18,-2.02,-1.92,-0.42,Grain
Bread wheat,0,N,0.4,-0.1,-1.6,-0.2,-1.5,7.8,1.1,-2.6,-3.5,0.2,Grain
Bread wheat,0,Y,0.43,1.03,-0.47,-1.27,-0.57,5.93,1.43,-3.87,-2.27,-0.37,Grain
Bread wheat,0,N,-0.02,1.38,-0.32,-2.52,-1.02,6.28,1.28,-3.62,-2.12,0.68,Grain
Barley,1,Y,-0.46,1.04,0.74,-0.26,0.04,7.44,2.04,-4.86,-5.66,-0.06,Rachis
Barley,1,N,-0.377777778,0.322222222,0.022222222,-3.177777778,0.122222222,10.02222222,3.622222222,-5.477777778,-5.077777778,1.422222222,Rachis
Barley,1,Y,0.67,2.47,2.57,-4.03,-1.33,8.27,2.07,-5.23,-5.53,0.07,Rachis
Barley,1,N,0.29,1.69,1.89,-4.61,-1.01,8.69,2.39,-5.51,-5.81,1.99,Rachis
Bread wheat,1,Y,0.11,1.61,1.21,-2.09,1.41,7.41,2.81,-4.39,-9.49,1.41,Rachis
Bread wheat,1,N,-0.36,0.84,0.64,-2.76,0.84,7.64,2.84,-4.96,-6.86,2.14,Rachis
Bread wheat,1,Y,-0.35,1.55,2.05,-3.55,-1.55,7.35,3.15,-5.25,-4.55,1.15,Rachis
Bread wheat,1,N,1.12,1.72,0.72,-5.38,-1.58,7.92,3.32,-5.28,-4.88,2.32,Rachis
Pea,2,Y,-0.62,0.78,0.48,6.28,-5.02,-0.72,3.38,0.28,-5.02,0.18,Legume
Pea,2,N,-0.68,1.42,0.02,6.42,-3.68,-0.58,2.92,-0.08,-5.48,-0.28,Legume
Broad bean,2,Y,-1.44,1.86,0.36,1.66,-2.94,1.56,3.76,-3.04,-1.54,-0.24,Legume
Broad bean,2,N,-0.05,1.75,1.05,1.55,-4.55,1.15,2.95,-2.95,-0.65,-0.25,Legume
Corylus avellana,3,V-016a,0.2,2.5,0.8,-12.4,-2.2,12.8,6.9,-7,-3.5,1.9,Woody plants
