Species,Part,Manure,Ala,Asx,Glx,Gly,Leu,Phe,Pro,Ser,Thr,Val,Assignment
Triticum aestivum L. cv. Tommi,0,Paolini et al. 2015,-1.8,-0.3,4,-2.5,-2.3,6.2,4.2,,-8.5,1,Grain
Triticum aestivum L. cv. Tommi,0,Paolini et al. 2015,-0.01,-1.41,3.29,-2.61,-3.01,6.19,4.39,,-8.61,1.79,Grain
Triticum aestivum L. cv. Tommi,0,Paolini et al. 2015,-1.46,-1.56,3.74,-1.66,-2.06,6.34,3.74,,-6.76,-0.36,Grain
Triticum aestivum L. cv. Tommi,0,Paolini et al. 2015,0.33,-1.07,3.63,-1.97,-3.67,7.03,4.13,,-8.97,0.53,Grain
Triticum aestivum L. cv. Tommi,0,Paolini et al. 2015,-0.67,-0.37,2.03,-4.67,-3.27,7.63,3.93,,-6.27,1.63,Grain
Triticum aestivum L. cv. Tommi,0,Paolini et al. 2015,-0.29,-0.79,4.31,-4.29,-3.19,7.91,4.61,,-9.69,1.41,Grain
Triticum aestivum L. cv. Tommi,0,Paolini et al. 2015,-1.46,-0.86,3.84,-2.66,-3.26,7.34,4.14,,-7.36,0.24,Grain
Triticum aestivum L. cv. Tommi,0,Paolini et al. 2015,-0.82,-1.12,3.88,-2.22,-3.32,6.58,4.58,,-9.02,1.48,Grain
Triticum aestivum L. cv. Tommi,0,Paolini et al. 2015,-0.29,-1.69,3.31,-2.99,-2.49,6.61,4.01,,-7.79,1.31,Grain
Triticum aestivum L. cv. Tommi,0,Paolini et al. 2015,-0.36,-0.36,2.74,-5.56,-2.86,8.04,4.34,,-7.86,1.84,Grain
Triticum aestivum L. cv. Tommi,0,Paolini et al. 2015,1.13,-0.67,1.73,-4.27,-3.17,7.73,2.63,,-6.27,1.13,Grain
Triticum aestivum L. cv. Tommi,0,Paolini et al. 2015,-0.81,-1.41,3.59,-3.81,-3.31,7.19,4.29,,-6.81,1.09,Grain
Triticum aestivum L. cv. Tommi,0,Paolini et al. 2015,-1.3,-1,3.4,-3,-3,7.5,4.2,,-8,1.2,Grain
Triticum aestivum L. cv. Tommi,0,Paolini et al. 2015,-0.49,-0.99,3.41,-3.69,-3.69,7.11,4.61,,-7.89,1.61,Grain
Triticum aestivum L. cv. Tommi,0,Paolini et al. 2015,0.04,-1.16,1.64,-2.96,-2.36,7.34,2.84,,-6.96,1.54,Grain
Triticum aestivum L. cv. Tommi,0,Paolini et al. 2015,0.71,-0.49,0.41,-5.29,-4.49,7.71,2.41,,-3.59,2.61,Grain
Triticum aestivum L. cv. Tommi,0,Paolini et al. 2015,-1.31,-0.51,2.49,-4.11,-2.31,7.99,3.49,,-6.71,0.99,Grain
Triticum aestivum L. cv. Tommi,0,Paolini et al. 2015,-0.99,-0.99,3.51,-2.99,-3.49,8.41,4.21,,-9.29,1.61,Grain
Triticum turgidum,0,Paolini et al. 2015,-0.09,1.11,1.21,-3.79,-4.69,7.61,3.11,,-4.39,-0.09,Grain
Triticum turgidum,0,Paolini et al. 2015,1.73,0.03,1.93,-2.87,-3.67,5.83,2.83,,-7.57,1.73,Grain
Triticum turgidum,0,Paolini et al. 2015,-0.87,0.73,1.63,-1.77,-2.97,5.53,3.73,,-6.67,0.63,Grain
Triticum turgidum,0,Paolini et al. 2015,-1.04,0.06,1.26,-0.34,-1.24,6.56,3.46,,-9.24,0.56,Grain
Triticum turgidum,0,Paolini et al. 2015,0.41,-0.29,3.51,-2.09,-2.59,6.81,4.31,,-9.99,-0.09,Grain
Triticum turgidum,0,Paolini et al. 2015,-0.31,-0.01,2.39,-2.31,-3.71,5.89,2.99,,-6.51,1.59,Grain
Triticum turgidum,0,Paolini et al. 2015,-1.93,-0.13,2.07,-0.63,-4.23,7.17,2.67,,-6.53,1.57,Grain
Triticum turgidum,0,Paolini et al. 2015,-0.43,0.57,0.27,-2.63,-4.63,6.87,2.67,,-3.43,0.77,Grain
Triticum turgidum,0,Paolini et al. 2015,-1.63,0.27,1.87,-0.83,-3.63,7.77,2.67,,-7.53,1.07,Grain
Triticum turgidum,0,Paolini et al. 2015,-1.08,-0.08,2.82,0.42,-3.68,5.52,3.02,,-7.58,0.62,Grain
Triticum turgidum,0,Paolini et al. 2015,-0.8,-1.4,2.5,-1.5,-1,7.6,3.5,,-9.6,0.7,Grain
Triticum turgidum,0,Paolini et al. 2015,-1.13,0.37,1.17,-1.73,-2.63,6.17,3.57,,-7.33,1.57,Grain
Triticum turgidum,0,Paolini et al. 2015,-1.44,0.96,3.06,-1.84,-3.84,6.16,2.76,,-7.64,1.86,Grain
Triticum turgidum,0,Paolini et al. 2015,-0.52,0.18,0.48,-3.32,-3.22,7.68,3.18,,-5.52,1.08,Grain
Triticum turgidum,0,Paolini et al. 2015,-0.9,0.2,2.7,-0.8,-4.9,5.7,2.9,,-6.5,1.6,Grain
Triticum turgidum,0,Paolini et al. 2015,-0.8,0.3,2.5,-0.2,-3.3,5.2,3.2,,-6.8,-0.1,Grain
Triticum turgidum,0,Paolini et al. 2015,-0.94,-0.34,1.76,-0.24,-3.54,6.76,2.66,,-5.84,-0.24,Grain
Triticum durum,0,Soncin et al. 2021,-0.64,1.36,-0.44,-3.24,-1.34,7.46,0.86,,-6.34,2.36,Grain
Hordeum vulgare,0,Soncin et al. 2021,-1.1,1.4,-0.4,-1.2,-1.7,8.3,0.7,,-8,2,Grain
Triticum monoccocum,0,Soncin et al. 2021,-0.33,1.97,-0.13,-2.13,-1.83,8.27,0.77,,-8.33,1.77,Grain
